协心戮力 道合志同 同心合胆 身在曹营心在汉 百虑攒心
封胡遏末 卓立鸡群 鹤立鸡群 牛高马大 显山露水
烂漫天真 烂熳天真 一尘不到 冰魂素魄 秋月寒江
一诺无辞 理之当然 心甘情原 事核言直 直认不讳
运策决机 运筹画策 运筹演谋 运筹建策 运筹决策
耳闻目睹 目睹耳闻 目击耳闻 所见所闻 目见耳闻
雁过拨毛 英雄豪杰 断头将军 断蛟刺虎 栋梁之才
再不其然 无庸赘述 杜口无言 无从置喙 空前绝后
尸横遍野 血债累累 累卵之危 肝髓流野 千千万万
玩忽职守 逐末忘本 饰非遂过 不矜细行 文过其实
沓来麕至 沓来踵至 众口纷纭 众说纷纭 纷纭杂沓
推三推四 饰非遂过 引咎责躬 有己无人 改行为善
择地而蹈 应变无方 干干翼翼 砥志研思 慎终于始
瓢泼大雨 大雨倾盆 倾盆大雨 大雨滂沱 翻江倒海
询根问底 追本穷源 归根究柢 原始反终 积本求原
一尺水十丈波 尺水丈波 貌是情非 闻雷失箸 望风捕影
作育人材 通文达艺 爱人好士 人文荟萃 多才多艺
搓手顿足 搓手顿脚 撧耳挠腮 没精打彩 垂头搨翼
拾陈蹈故 陈言老套 淫辞邪说 文过其实 恶语伤人
悖言乱辞 道西说东 高谈大论 秕言谬说 强作解人
礼让为国 历精图治 文治武力 历精为治 治国安邦
克绍箕裘 为裘为箕 箕引裘随 幺豚暮鹨 戏彩娱亲
有增无已 半半路路 时过境迁 方滋未艾 方兴未已
神情恍惚 方寸已乱 麻痺不仁 倒三颠四 混混噩噩
残缺不全 半半拉拉 东完西缺 残编裂简 收残缀轶
奸淫掳掠 夺人所好 奸掳烧杀 谋财害命 图财害命
胡猜乱想 无稽之言 捉风捕影 捉影捕风 捉风捕月
问一答十 言语妙天下 噀玉喷珠 滚瓜流水 能言巧辩
卧雪眠霜 眠霜卧雪 折胶堕指 冰雪严寒 雪窑冰天
不露神色 避人耳目 避瓜防李 溜之大吉 花遮柳隐
陷于缧绁 锒铛入狱 陷身囹圄 缧绁之忧 铁狱铜笼
悲愤填膺 惊心悲魄 捶胸跌足 捶胸顿脚 捶胸跌脚
撒诈捣虚 矫情饰诈 自欺欺人 讹言惑众 侜张为幻
活剥生吞 来回来去 照猫画虎 照葫芦画瓢 以假乱真
喜行于色 掩口葫芦 原形败露 情见于色 喜上眉梢
出处殊途 出处殊涂 别无二致 出处进退 进退出处
饰非遂过 玩忽职守 造谣生非 不矜细行 不护细行
东游西荡 饱食终日 讪牙闲嗑 忙里偷闲 岁月蹉跎
缩衣节口 缩衣啬食 缩衣节食 东撙西节 节衣缩食
创剧痛深 刺心裂肝 创钜痛仍 七损八伤 龙胡之痛
铁狱铜笼 无依无靠 形只影单 关门闭户 鸡犬不闻
因陋就寡 侈纵偷苟 苟且偷生 苟且偷安 好佚恶劳
于心无愧 面无惭色 愧悔无地 无所畏忌 恬不知耻
过而能改 知过能改 习非成是 知过必改 匡谬正俗
朱弦三叹 凤吟鸾吹 吹叶嚼蕊 言之有物 因乌及屋
局天扣地 额蹙心痛 怆然涕下 惨然不乐 黯然伤神
和蔼可亲 和蔼近人 假慈悲 心慈面软 来者不善
改口沓舌 言不顾行 使嘴使舌 言颠语倒 课语讹言
铁板铜弦 徜徉恣肆 悲歌易水 龙飞虎跳 锋发韵流
七搭八搭 七拉八扯 悖言乱辞 东碰西撞 东奔西撞
失张失志 失张失致 慌慌张张 七上八落 不慌不忙
继古开今 长生不死 死而复生 接连不断 接三连四
谈优务劣 小国寡民 无所用之 篡党夺权 无为自化
亲当矢石 躬擐甲胄 躬蹈矢石 行兵布阵 常胜将军
深闭固距 闭境自守 闭关绝市 以杀止杀 以杀去杀
一手托天 三头两绪 难如登天 压雪求油 道傍之筑
赤手空拳 白首空归 身无寸铁 白手空拳 终成泡影
日月如流 追云逐电 汲汲皇皇 驹窗电逝 造次行事
贩夫皂隶 贩夫皁隶 狐鼠之徒 身轻言微 低三下四
瑶林琼树 教一识百 食辨劳薪 圭璋特达 拿云捉月
揎拳舞袖 投袂荷戈 奋袂而起 振臂一呼 赌咒发誓
钻火得冰 一手托天 虚舟飘瓦 道傍之筑 泥车瓦马
忑忑忐忐 惶恐不安 惶惶不安 心慌撩乱 张眉张眼
余腥残秽 残茶剩饭 喝西北风 半半拉拉 损有余补不足
安邦定国 礼仪之邦 经邦纬国 定国安邦 经帮纬国
辞不达义 狗屁不通 混淆是非 秕言谬说 以文害辞
鼻端生火 渊涌风厉 马龙车水 断决如流 载驰载驱
照章办事 公私兼顾 独当一面 分工合作 各就各位
贫贱之交 贫贱之知 患难之交 义结金兰 善与人交
人尽其才 用其所长 全智全能 全知全能 人所共知
倾家竭产 倾家破产 倾家荡产 慷他人之慨 将本求利
强自取柱 强自取折 齿弊舌存 不可移易 强得易贫
花攒锦簇 十光五色 灯火辉煌 百紫千红 五色缤纷
惟妙惟肖 有鼻子有眼 惟肖惟妙 活神活现 假门假事
通情达理 心巧嘴乖 敬终慎始 出言有章 言之有序
诸有此类 诸如此比 诸若此类 无所不有 不计其数
呕心抽肠 捶胸顿脚 捶胸跌足 捶胸跌脚 凄入肝脾
相女配夫 东床择对 东床坦腹 东床之选 一男半女
修身洁行 崇雅黜浮 修真养性 逶迤退食 乐道遗荣
百思不解 百思不得其解 深思熟虑 一知半解 智者千虑，或有一失
耸人听闻 危言竦论 故甚其词 簸土扬沙 谩辞哗说
众所周知 人所共知 众所共知 家见户说 家喻户习
敬老慈少 敬老慈穉 忧公忘私 孝子贤孙 敬贤爱士
金石之策 修鳞养爪 铜围铁马 山止川行 盘石之固
公买公卖 公平交易 言无二价 公平无私 斠若画一
词严义密 正色敢言 郑重其辞 词正理直 郑重其事
金波玉液 玉液金浆 玉液金波 仙液琼浆 桂酒椒浆
咬紧牙关 苦中作乐 救难解危 遣愁索笑 久历风尘
博弈犹贤 去甚去泰 强食自爱 黄汤辣水 乐不可极
褒贬与夺 私相授受 不置褒贬 大发议论 知遇之恩
删华就素 吃喝玩乐 超然自逸 黜奢崇俭 优游岁月
万流景仰 泰山其颓 深得人心 时望所归 宵鱼垂化
染神乱志 执迷不醒 打破迷关 魂摇魄乱 混混噩噩
敬终慎始 人情世故 以权达变 通时合变 通时达变
愁肠殢酒 愁长殢酒 酒病花愁 积忧成疾 多情善感
攀龙附凤 附凤攀龙 夤缘攀附 避凉附炎 希旨承颜
云交雨合 云次鳞集 久别重逢 不期而遇 人生何处不相逢
桀骜不逊 刚戾自用 爱生恶死 刚正不阿 刚直不阿
朝不及夕 十万火急 千钧一发 山河表里 机不容发
强文浉醋 乔文假醋 同心合意 同心竭力 一班一辈
着书立说 著书立说 一家之作 各抒己见 言之有序
面若死灰 面如土色 低头耷脑 色如死灰 胆丧魂消
燕安醙毒 吃喝玩乐 茶余饭饱 怡情理性 沂水舞雩
笨嘴笨舌 困而不学 言颠语倒 讷口少言 含糊其辞
恶语伤人 造谣中伤 造谣生事 惹事生非 百般刁难
按名责实 名副其实 指名道姓 乌有先生 名符其实
发财致富 高官尊爵 武爵武任 知遇之恩 照功行赏
智均力敌 权均力齐 平起平坐 两相情愿 名副其实
拙贝罗香 波罗奢花 尊姓大名 兰艾难分 凤管鸾笙
打小算盘 斤斤较量 慎小谨微 计研心算 挑么挑六
持权合变 权时制宜 当断不断 相时而动 急不暇择
振兵释旅 倒置干戈 偃武息戈 解甲休士 案兵束甲
上情下达 张口掉舌 传诵一时 大发议论 口耳相承
关怀备至 问寒问暖 体恤入微 爱如己出 知疼着痒
贫困潦倒 清贫如洗 地瘠民贫 振穷恤贫 造次颠沛
不识庐山真面目 胡里胡涂 不知丁董 昏昏噩噩 一物不知
弄虚作假 因小失大 造谣惑众 造谣生事 蒙混过关
傻头傻脑 騣童钝夫 钝学累功 畏影恶迹 呆里撒奸
止于至善 同心合意 正中己怀 心照情交 无尽无穷
宏图大志 雄心壮志 志在四方 心小志大 豪情壮志
登坛拜将 大权旁落 当家立事 当家立业 秉钧持轴
音相应 表里相依 八方呼应 适以相成 息息相通
诗礼之训 父为子隐 父严子孝 子为父隐 养生送死
人之常情 出人意料 舆论哗然 惊愚骇俗 众所周知
俭故能广 节用裕民 删华就素 肥甘轻暖 长命富贵
舞文玩法 析律舞文 深文周内 胆大妄为 违条犯法
反复推敲 熟思审处 想方设法 研精致思 研精竭虑
乐极悲生 乐极生悲 乐极则悲 一悲一喜 触目崩心
神魂飘荡 神魂荡飏 醉舞狂歌 梦想颠倒 梦魂颠倒
救难解危 扶危救困 救困扶危 振穷恤寡 分贫振穷
发隐擿伏 难言之隐 元经秘旨 逸闻趣事 逸闻琐事
一诺无辞 口角风情 口不应心 心服首肯 可心如意
慎小事微 甄心动惧 谨本详始 敕始毖终 熟思审处
三言讹虎 三夫成市虎 三人成虎 宫邻金虎 三人为众
没精打彩 萎糜不振 槁形灰心 凤狂龙躁 行眠立盹
秘而不露 秘而不宣 讳莫高深 杜口无言 甄心动惧
二心两意 毛羽未丰 半三不四 观望不前 忐上忑下
昼度夜思 暮云春树 春树暮云 想望丰采 月落星沉
炫奇争胜 坐视成败 斗艳争辉 鹅湖之会 衡短论长
发财致富 发家致富 改换家门 国富民丰 名门世族
偃革尚文 识字知书 偃武崇文 揆文奋武 尊师贵道
口耳并重 侈人观听 公听并观 教学相长 所见所闻
此恨绵绵 同心合力 同心并力 砥廉峻隅 鸿爪雪泥
杜口无言 缄口无言 闭口不言 闭口结舌 钳口吞舌
南贩北贾 东奔西跑 东奔西走 闯荡江湖 奔走钻营
相因相生 相生相成 同心合力 同心并力 相得益章
失惊打怪 仓皇失措 七慌八乱 急张拘诸 七上八下
灼见真知 官止神行 真知灼见 胸中有数 豁然确斯
省烦从简 以简驭繁 简要不烦 从俗就简 以简御繁
振奋人心 奋发有为 鼓舞人心 发人深省 励精图治
瞠目而视 直眉睖眼 语笑喧呼 语笑喧哗 凶相毕露
宿水餐风 餐风咽露 餐风宿草 餐风饮露 餐风宿露
一心一德 同德协力 同心并力 同心合力 知难而进
胆丧魂惊 胆丧魂消 毛骨耸然 丢魂丧胆 弓影浮杯
尊贤使能 识才尊贤 使贤任能 材德兼备 敬贤爱士
忍苦耐劳 安贫守道 久历风尘 艰苦奋斗 不避艰险
桀傲不驯 桀敖不驯 桀骜不恭 桀傲不恭 专横跋扈
鸾俦凤侣 鸳俦凤侣 凤友鸾谐 琴瑟之好 鸾吟凤唱
一差二错 一差两讹 一差二误 一长两短 一长二短
铢两分寸 量小力微 一个半个 屈指可数 一分一毫
餐风啮雪 餐风茹雪 餐风咽露 餐风饮露 餐风宿雨
逸闻趣事 逸闻琐事 逸闻轶事 轶事遗闻 轶闻遗事
良时美景 良辰媚景 良宵好景 悦目赏心 春宵一刻
寸步难移 东踅西倒 入地无门 牵牛下井 钻山塞海
出谋献策 急人之困 急人之难 诱掖奖劝 相辅而行
两次三番 再三再四 三翻四复 层出迭见 层见错出
自负不凡 赫赫巍巍 崧生岳降 魁梧奇伟 诡形奇制
腾腾兀兀 骇状殊形 筋疲力倦 弃情遗世 出丑放乖
不紧不慢 平心定气 心如止水 心平气和 好声好气
移风振俗 历精为治 救时厉俗 不正之风 抱不平
龙翰凤雏 龙翰凤翼 才夸八斗 东南竹箭 宏才大略
独到之处 别具只眼 标新立异 标新领异 独出己见
人中龙虎 人中之龙 拏风跃云 壮发冲冠 流水游龙
风行水上 不拘形迹 无拘无碍 优游自如 自由自在
情深意重 热情洋溢 深情厚意 深情厚谊 动之以情
流言混话 不经之谈 胡说八道 胡说乱道 撒骚放屁
寤寐求之 急不暇择 汲汲忙忙 汲汲皇皇 欲得而甘心
以貌取人 校短量长 辨物居方 旁见侧出 人不可貌相
瞒天过海 瞒神弄鬼 弄虚作假 矫情饰诈 侜张为幻
格格不吐 不堪言状 青口白舌 祸从口生 播弄是非
交相辉映 奇光异彩 河倾月落 通宵彻夜 竭智尽力
求忠出孝 孝子贤孙 蹈仁履义 移孝为忠 逆子贼臣
枉直随形 明光烁亮 折胶堕指 腾焰飞芒 风雨晦暝
聪明智慧 雄才大略 宏才大略 超世之才 逸群之才
庸中佼佼 庸中皦皦 拔丛出类 拔类超群 拔萃出类
五心六意 二心两意 小手小脚 木头木脑 顽梗不化
先人后己 将心比心 以意逆志 以人为镜 一日三省
久历风尘 千辛万苦 万苦千辛 饱经忧患 艰苦创业
国计民生 民生国计 民富国强 物阜民康 国富民丰
力不能支 确乎不拔 力不能及 艰难曲折 束手就困
金城千里 通险畅机 重金袭汤 保境息民 铁桶江山
一举两得 教学相长 有一利必有一弊 公私兼顾 相生相成
时诎举赢 诱掖奖劝 囊里盛锥 将机就机 赏一劝百
变生肘腋 祸生肘腋 事生肘腋 捉衿露肘 捉襟肘见
开口见心 能言快语 嘴直心快 心直口快 正言不讳
爱不忍释 一切万物 爱博而情不专 时绌举赢 货而不售
秉节持重 轻世肆志 洁身自守 超然不群 优游自若
行者让路 相视而笑 两相情原 目挑心悦 言来语去
瞻情顾意 看人行事 深情厚谊 深情厚意 义结金兰
据为己有 假力于人 自我牺牲 捉刀代笔 草船借箭
以攻为守 以守为攻 打击报复 将计就计 四面受敌
攒三集五 凫居雁聚 攒零合整 云次鳞集 成群集党
大开方便之门 鼎鼎有名 称心满意 春宵一刻 送往迎来
娇皮嫩肉 油光晶亮 一笑百媚 油光可鉴 齿牙春色
去粗取精 寻瘢索绽 吹毛索垢 吹毛索瘢 吹毛求瑕
连理分枝 分鞋破镜 东南雀飞 镜分鸾凤 乐昌分镜
冷酷无情 冷心冷面 麻痺不仁 毛羽零落 不期而会
遁名改作 革图易虑 巧立名目 变心易虑 持权合变
纸落云烟 徜徉恣肆 鹄峙鸾翔 凤舞龙飞 捉衿见肘
漫天过海 漠不相关 天南海北 江水不犯河水 无边无沿
荡魂摄魄 惊心眩目 骇目惊心 感人肺腑 危言竦论
千千万万 成千成万 成千累万 万万千千 车载船装
閒今铸古 博学多才 通文达艺 博学洽闻 通才练识
有识之士 逢机遘会 急人之难 急人之困 舍己为人
乐山爱水 依山傍水 重山峻岭 游山玩水 枕山襟海
无师自通 博而寡要 学然后知不足，教然后知困 教无常师 一知半解
徜徉恣肆 倒峡泻河 龙章秀骨 壮发冲冠 彘肩斗酒
放达不羁 恬淡无为 跅弛不羁 逍遥自在 逍遥自得
励志竭精 孜孜无怠 孜孜不懈 孜孜不怠 艰苦奋斗
积素累旧 竹马之友 二童一马 两小无猜 绮纨之岁
小国寡民 地瘠民贫 门单户薄 民困国贫 民生国计
刬恶锄奸 剗恶锄奸 进贤黜佞 黜邪崇正 进善退恶
旧地重游 抛乡离井 衣锦荣归 衣锦过乡 衣锦还乡
敩学相长 道德文章 识字知书 教学相长 砥砺风节
承先启后 扬清厉俗 百世之利 砺世磨钝 还年驻色
两头和番 参伍错综 颠来播去 以黑为白 以白为黑
灌夫骂坐 诗朋酒友 借酒浇愁 酒肉兄弟 使酒骂座
张慌失措 不知所可 急不暇择 心慌撩乱 惊慌失措
击石弹丝 吹竹弹丝 弄竹弹丝 调丝品竹 吹吹打打
瞪目哆口 气喘吁吁 耳听八方 瞪目结舌 伈伈睍睍
风雨晦暝 飘风暴雨 骤雨狂风 骤风暴雨 骤雨暴风
急不可待 急不可耐 机不容发 朝不及夕 急不及待
斋心涤虑 偷闲躲静 消愁解闷 旷心怡神 扫地俱尽
贞高绝俗 卓绝千古 艰苦卓绝 闳识孤怀 超世之才
名山事业 鸿篇钜制 染翰成章 着书立说 体物缘情
巴巴结结 讷口少言 笨嘴笨舌 言颠语倒 昏昏默默
弄假成真 倒因为果 谓予不信 原始见终 适居其反
不轨之徒 坏法乱纪 蔑伦悖理 违条犯法 青丝白马
乐而忘死 无思无虑 恢廓大度 旷达不羁 过目不忘
匡乱反正 省烦从简 齐家治国 扶弱抑强 持权合变
郁郁不乐 悲观厌世 落魄江湖 心烦虑乱 心烦意冗
长篇大套 瘠义肥辞 盈篇累牍 浮笔浪墨 连帙累牍
羞面见人 不露神色 望而生畏 触目警心 耽惊受怕
修辞立诚 烘托渲染 意前笔后 出以公心 文似其人
稳步前进 半半路路 原始反终 循序渐进 剥茧抽丝
照功行赏 计功行赏 班功行赏 论功行封 计功程劳
励精图治 历精为治 苦心经营 论道经邦 励精求治
转嗔为喜 转愁为喜 转忧为喜 转悲为喜 回嗔作喜
显亲扬名 身显名扬 扬名显亲 望子成龙 显祖荣宗
步履维艰 举止失措 踉踉跄跄 神魂颠倒 形容枯槁
推本溯源 原始反终 望表知里 以一知万 识微见几
恩若再生 再造之恩 恩同再造 救人一命，胜造七级浮屠 知遇之恩
悠闲自在 优游岁月 吃喝玩乐 超然自得 超然自逸
搜肠刮肚 衡虑困心 裁心镂舌 刿鉥心腑 彫肝琢肾
气息奄奄 一息奄奄 淹淹一息 奄奄一息 人命危浅
毫发丝粟 微乎其微 弹丸黑志 鸡头鱼刺 一点一滴
挨肩并足 挨肩叠背 挨肩迭背 屯街塞巷 交颈并头
旁见侧出 龙章凤彩 怪形怪状 诡形奇制 光彩耀目
鹤知夜半 风声鹤唳 风声鹤唳，草木皆兵 鹤唳风声 鹤唳猿声
出幽迁乔 鸟枪换炮 迁乔出谷 进退荣辱 笔头生花
铁板铜弦 徜徉恣肆 龙章秀骨 龙飞虎跳 龙跳虎卧
表里相依 团头聚面 以疏间亲 金兰之友 鲍子知我
本同末离 异名同实 树同拔异 异口同音 异涂同归
见利思义 贪利忘义 重财轻义 轻财重义 据理力争
偃革尚文 以战去战 揆文奋武 案甲休兵 偃武崇文
慎小事微 饰非遂过 秉节持重 詀言詀语 熟思审处
襟怀磊落 老成持重 笃实好学 襟怀洒落 敏于事，慎于言
耳红面赤 忿然作色 面红面绿 面红耳热 感慨激昂
心巧嘴乖 利齿能牙 才华超众 好行小慧 才夸八斗
书香世家 书香人家 书香门户 书香门第 世代书香
巢居穴处 优游卒岁 安身之地 一枝之栖 东西南北人
含垢忍耻 忍辱负重 忍尤含垢 含污忍垢 惟口起羞
乞穷俭相 振穷恤贫 恍如梦境 破烂流丢 访贫问苦
急人之难 急人之困 舍己为人 救难解危 抱不平
重岩叠嶂 千岩万壑 陡壁悬崖 源源不断 羊肠鸟道
变动不居 还原反本 承嬗离合 连绵不绝 不易之典
清歌曼舞 妙舞清歌 沙鸥翔集 轻歌曼舞 春和景明
视微知著 识微见远 识微知著 原始反终 识微见几
爱日惜力 朴实无华 随缘乐助 玉粒桂薪 干干翼翼
惨然不乐 风雨萧条 杜门自守 关门闭户 满目凄凉
损己利人 损人利己 利己损人 损人不利己 惹灾招祸
鞋弓襪小 鞋弓袜小 鞋弓袜浅 鞋弓襪浅 琵琶别抱
虎狼之势 风行电击 狼猛蜂毒 飙发电举 风激电飞
疾风迅雷 风驱电扫 风驰雨骤 雷令风行 电掣风驰
话长说短 说短论长 说长道短 道长争短 道长论短
藏巧于拙 匿迹销声 逞强好胜 才华超众 扬长避短
凤引九雏 民安国泰 国泰民安 国富民安 鸾飞凤舞
面如凝脂 肤如凝脂 膏泽脂香 匀脂抹粉 沟满壕平
槁形灰心 没精打彩 七菜倒 病病歪歪 萎糜不振
畏缩不前 畏葸不前 忑忑忐忐 惶惶不安 惶恐不安
一笔勾消 一笔勾销 斩头去尾 删繁就简 赶尽杀绝
恩重如山 执法如山 争强斗胜 争强斗狠 确乎不拔
止戈散马 归马放牛 放牛归马 振兵释旅 弃甲投戈
宽大为怀 宽以待人 闻融敦厚 不忙不暴 磊落光明
残篇断简 言无伦次 造次行事 张慌失措 顾此失彼
苟延残息 苟延残喘 苟全性命 赍志而没 临难苟免
一面之缘 欢聚一堂 和睦相处 荣谐伉俪 积素累旧
蠹居棋处 不正之风 轰动一时 世扰俗乱 自由泛滥
当面错过 摇席破座 收回成命 事败垂成 云收雨散
朴实无华 沉厚寡言 沉重寡言 练达老成 朴素无华
所在皆是 旁见侧出 无所不在 扎根串连 毫分缕析
胆丧魂惊 胆丧魂消 屎滚尿流 屎屁直流 惊神破胆
九流十家 九流宾客 诸子百家 一家之学 九流百家
冲冠发怒 冲冠怒发 怒气填胸 嚼腭搥床 怒火冲天
走石飞沙 飞沙走石 飞砂走石 飞沙走砾 颠来簸去
不近道理 蛮横无理 蛮不讲理 横蛮无理 百般刁难
横拖倒拽 生拖死拽 横拖竖拉 死标白缠 牵丝攀藤
遗芬余荣 遗芳余烈 丘山之功 烈士暮年，壮心不已 以古为镜
珪璋特达 拿云捉月 圭璋特达 高才绝学 龙翰凤雏
见利思义 贪利忘义 见利忘义 重财轻义 见财起意
悠悠荡荡 东扬西荡 掉臂不顾 神魂飘荡 神魂荡飏
一片汪洋 江翻海沸 浩浩汤汤 翻江搅海 混混泇泇
亭台楼阁 寻壑经丘 楼台亭阁 游山玩水 朱阁青楼
风行草靡 以弱胜强 超世之才 逸群之才 人强胜天
迫不得已 计出无聊 计穷势蹙 无其奈何 莫可奈何
一呼百应 登高一呼 云集响应 劳民动众 众口一辞
察言观行 识才尊贤 以言取人 公听并观 坐视成败
说短论长 说长道短 话长说短 虚己受人 慎小事微
不顾大局 无关大局 急处从宽 不识大体 不足为意
别财异居 别籍异财 别居异财 鸱张门户 家成业就
食日万钱 所费不赀 一日万机 开门七件事 日食万钱
心不在焉 心慌意急 茫然不解 神情不属 无所用心
孔思周情 人非土木 周情孔思 世道人心 半部论语治天下
并行不悖 横冲直闯 邪魔歪道 事与心违 一隅之说
瞒上欺下 左建外易 强奸民意 趁人之危 卖公营私
以守为攻 必争之地 表里受敌 遵养晦时 孤军深入
狂嫖滥赌 贪脏枉法 以杀去杀 以杀止杀 买笑追欢
卓绝千古 天下独步 独步天下 卓有成效 超类绝伦
无所不及 无所用之 无人之境 无远弗届 无人之地
恶言詈辞 恶语中伤 恶语伤人 谗言佞语 造谣中伤
言不顾行 言行不符 语焉不详 危言逆耳 劳而无功
一隅之说 泥中隐刺 低三下四 消极怠工 七扭八歪
争鸡失羊 贪夫猣财 贪夫猣利 千金一掷 一口两匙
泪如泉滴 怆然涕下 悲从中来 泪如泉涌 啼啼哭哭
抚景伤情 触景伤心 触景伤怀 即景生情 触目崩心
深情厚意 深情厚谊 情投意忺 情投谊合 义结金兰
救难解危 运智铺谋 运计铺谋 人急计生 人急智生
异香扑鼻 焚香顶礼 三浴三衅 三衅三浴 捻土为香
颠倒黑白 指皁为白 黑白混淆 混淆黑白 光彩陆离
强兵富国 富国强兵 富国彊兵 富国强民 国富兵强
打家截道 明抢暗偷 窝停主人 打家截舍 挺而走险
元经秘旨 阐幽明微 析精剖微 微言大谊 千锤打锣，一锤定音
杂七杂八 东横西倒 污七八糟 乌七八糟 马仰人翻
顿足捩耳 入地无门 生民涂炭 上天无路，入地无门 爽然自失
析律舞文 舞文巧诋 深文周内 文人无行 调墨弄笔
感人肺腑 喟然长叹 瞑思苦想 触目兴叹 哀声叹气
沟满壕平 撑肠拄肚 言必有物 笔饱墨酣 镜圆璧合
孔思周情 周情孔思 诗礼传家 半部论语治天下 一致百虑
方寸已乱 心慌撩乱 心灰意冷 昏头转向 倾摇懈弛
抓耳挠腮 搔头摸耳 肤粟股栗 搔头抓耳 挠腮撧耳
凤吟鸾吹 清歌曼舞 妙舞清歌 朱弦三叹 慷慨悲歌
重金袭汤 铁郭金城 石城汤池 门禁森严 金汤之固
对薄公堂 画地刻木 以杀止杀 以杀去杀 铁窗风味
论千论万 众多非一 千汇万状 百品千条 无万大千
成名成家 大开眼界 资深望重 作育人材 爱人好士
变古乱常 格于成例 陈规陋习 囿于成见 变俗易教
尸横遍野 一榻横陈 死于非命 死中求活 脚心朝天
束装就道 整装待发 倍道而行 谨本详始 鸠工庀材
弃恶从善 徙善远罪 迁善远罪 顺美匡恶 好善恶恶
重于泰山 安如泰山 稳如泰山 安若泰山 安如太山
饮恨而终 刻骨崩心 深仇大恨 负诟忍尤 申冤吐气
东流西落 北辕适粤 东播西流 流离播迁 三江七泽
马中关五 豕虎传讹 鲁鱼亥豕 鱼鲁帝虎 鲁鱼陶阴
三五成群 攒三聚五 通同一气 人满为患 成群结伙
以己之心，度人之心 绞尽脑汁 打马虎眼 以意逆志 强不知以为知
按图索骥 按图索骏 寻踪觅迹 觅迹寻踪 顺藤摸瓜
油头滑脸 鹰头雀脑 神机鬼械 油头滑脑 刁滑奸诈
为虎傅翼 为虎添翼 与虎添翼 放虎遗患 麟角虎翅
若释重负 吐气扬眉 满脸春风 神采飞扬 心满意足
附凤攀龙 攀龙附凤 有钱有势 权豪势要 夤缘攀附
常鳞凡介 碌碌无奇 等闲之辈 无名小辈 肤见谫识
孜孜砽砽 孜孜不怠 孜孜不懈 孜孜无怠 埋头苦干
一以当百 骁勇善战 万夫不当之勇 盖世无双 一呼百应
原形败露 真相毕露 凶相毕露 本相毕露 丑态毕露
不劳而成 负重吞污 负重含污 成人不自在，自在不成人 砥行立名
邈若河汉 奇想天开 千奇百怪 虚词诡说 龙鬼蛇神
鸾飞凤舞 安心乐业 枕稳衾温 门不夜关 芝兰之室
广土众民 旁搜博采 布天盖地 千汇万状 帡天极地
五男二女 三三五五 一男半女 寸男尺女 阖门百口
拽布披麻 拽布拖麻 披麻带索 拖麻拽布 龙胡之痛
龙蟠虎伏 龙骧虎踤 鱼龙百变 龙章凤彩 龙腾虎啸
转嗔为喜 改口沓舌 一反常态 碰钉子 奇谈怪论
拉拉杂杂 拉三扯四 无理取闹 乱七八糟 无端生事
发奋图强 宏图大志 孜孜无倦 求人不如求己 一心一德
身名俱灭 名存实亡 求全之毁 百世不磨 家破身亡
比物属事 比物丑类 因乌及屋 连类比事 引物连类
逐末弃本 逐末舍本 逐末忘本 取长弃短 简要不烦
话长说短 成败论人 说短论长 说长道短 校短量长
犊牧采薪 幺豚暮鹨 怨女旷夫 无噍类矣 孤魂野鬼
不可多得 微乎其微 一分一毫 寥寥可数 寥寥无几
大同小异 相差无几 小异大同 因人而异 不差上下
以口问心 樽酒论文 巴前算后 若有所思 旁观者清
劝善戒恶 劝善黜恶 以恶报恶 积德累善 广结良缘
俭以养德 俭以养廉 俭可养廉 洁己奉公 节用爱民
极往知来 閒今铸古 观往知来 数往知来 学而时习之
情投谊合 情投意忺 深情厚谊 深情厚意 动之以情
古貌古心 凤采鸾章 凤彩鸾章 潘江陆海 骚情赋骨
敦本务实 经验之谈 融释贯通 融会通浃 融汇贯通
爽然自失 入地无门 不上不落 上无片瓦，下无卓锥 东碰西撞
徜徉恣肆 彘肩斗酒 踔厉奋发 噙齿戴发 磊落飒爽
计功行赏 照功行赏 班功行赏 论功行赏 论功封赏
喜气洋洋 喜溢眉梢 载笑载言 满脸春色 满脸春风
同心叶力 同心一力 敬老慈少 敬老慈穉 万世师表
精神百倍 锦心绣肠 斯斯文文 四清六活 出神入定
托物寓感 心乡往之 托物寓兴 心向往之 触物兴怀
击其不意 突然袭击 以攻为守 以守为攻 出敌不意
卖公营私 舍己为公 徇私作弊 私心杂念 自私自利
千奇百怪 楚楚不凡 奇才异能 邈若河汉 稀奇古怪
将机就机 逢机遘会 可乘之机 急不暇择 事败垂成
聪明智慧 渊图远算 识明智审 砥志研思 慧心妙舌
不露神色 遮人眼目 遮掩耳目 隐姓埋名 藏头亢脑
金兰之交 铁心石肠 心如铁石 心如金石 心如坚石
目下十行 五行俱下 十行俱下 一目十行 飞书走檄
顾头不顾尾 卤莽灭裂 刿心刳肺 肤皮潦草 浮皮潦草
通幽洞微 洞鉴古今 胸有悬镜 通幽洞冥 烧犀观火
慎重其事 埋头苦干 慎小谨微 将心比心 竭力虔心
雕盘绮食 炰鳖脍鲤 百宝万货 龙肝豹胎 龙肝凤脑
公正廉明 危言正色 公正不阿 谠言嘉论 秉公任直
攒零合整 攒三集五 累月经年 累土聚沙 化零为整
