情投意忺 情投谊合 协心戮力 协心同力 道合志同
败德辱行 背义负信 割恩断义 贪利忘义 违天悖人
造言捏词 没查没利 诡言浮说 不根之谈 出何典记
填街塞巷 挨山塞海 布天盖地 蝇飞蚁聚 压肩叠背
忠贞不渝 言必信，行必果 忠肝义胆 笃信好学 忠心耿耿
通幽洞灵 通幽洞冥 拜鬼求神 见怪不怪 通元识微
满腔热枕 满腔热忱 热情洋溢 真情实感 感人肺腑
骄泰淫泆 骄侈淫虐 骄奢放逸 骄侈暴佚 骄奢淫佚
风驰雨骤 急风骤雨 魆风骤雨 大雨倾盆 倾盆大雨
削株掘根 以绝后患 剗恶锄奸 刬恶锄奸 革奸铲暴
月盈则食 日月合壁 月明星稀 月满则亏 日中则昃，月满则亏
心事重重 忧心悄悄 忧谗畏讥 寝食不安 焦心热中
齐王舍牛 下车泣罪 视民如子 爱国如家 救世济民
急人之困 急人之难 将心比心 匍匐之救 舍己为人
万古流芳 万古留芳 芬芳馥郁 流芳百世 流芳后世
猿穴坏山 小不忍则乱大谋 慎小事微 失之毫厘，差以千里 失之毫厘，差之千里
郢匠挥斤 神乎其技 成风尽垩 目牛无全 曲尽奇妙
束教管闻 庸耳俗目 诠才末学 款学寡闻 孤陋寡闻
怫然作色 忿然作色 愤愤不平 哭丧着脸 雷嗔电怒
扬长而去 卬头阔步 三步两脚 遥遥领先 逾墙越舍
东撙西节 少吃俭用 物尽其用 修旧利废 厉行节约
智勇兼全 智勇双全 有胆有识 有勇有谋 谋臣猛将
直内方外 千仞无枝 正视绳行 堂皇正大 不吐不茹
谠言嘉论 危言核论 危言覈论 正色敢言 直抒己见
百废俱兴 百废咸举 百废俱举 百废具作 百废具兴
殚思极虑 殚精竭虑 衡虑困心 千思万想 抵死漫生
弃之敝屣 弃若敝屣 弃之如敝屐 视如敝屐 焚巢捣穴
淡泊明志 不自满假 不法古不修今 舍生忘死 删华就素
色如死灰 愁云惨雾 面若死灰 卑鄙龌龊 面如死灰
杯酒言欢 欢聚一堂 欢若平生 抵掌而谈 义结金兰
头昏眼晕 昏头转向 头昏眼花 头晕眼花 昏迷不醒
狡焉思启 敌国外患 还我河山 篡党夺权 国仇家恨
华不再扬 一去不复返 岁序更新 云消雨散 盛筵必散
鸾鹄停峙 鸾鹄在庭 鸾停鹄峙 鹤立鸡群 卓立鸡群
烂漫天真 烂熳天真 冰魂素魄 一尘不到 秋月寒江
一诺无辞 深信不疑 无可争辩 心甘情原 简捷了当
运筹决算 运筹演谋 运筹设策 运筹决策 运筹画策
目击耳闻 耳闻目睹 目睹耳闻 耳闻目见 目见耳闻
断蛟刺虎 英雄豪杰 猛虎深山 铮铮铁汉 燕颔虎头
不容置喙 无从置喙 默默无言 置之脑后 一去不复返
尸横遍野 流血千里 血流成河 以泽量尸 死亡枕藉
不矜细行 逐末忘本 不护细行 卤莽灭裂 误打误撞
沓来踵至 沓来麕至 纷至踏来 南去北来 云趋鹜赴
假手于人 有己无人 嫁祸于人 自欺欺人 推三阻四
择地而蹈 循涂守辙 尺步绳趋 奉公正己 不以规矩，不能成方圆
滂沱大雨 倾盆大雨 大雨倾盆 瓢泼大雨 大雨滂沱
归根究柢 叩源推委 推本溯源 询根问底 追根究蒂
高谈大论 尺水丈波 一尺水十丈波 捉影捕风 捉风捕影
英雄辈出 十步香草 十步香车 后起之秀 人才辈出
低头丧气 黯然神伤 嗒然若丧 萎糜不振 垂首丧气
拾陈蹈故 舞文巧诋 淫辞邪说 恶语相加 招是搬非
说三道四 妄口巴舌 悖言乱辞 咒天骂地 语四言三
礼让为国 治国安邦 安国宁家 以德服人 历精为治
为裘为箕 箕引裘随 克绍箕裘 凤毛济美 良弓无改
时过境迁 变动不居 翻复无常 与时偕行 时移势迁
昏昏沉沉 神迷意夺 倒三颠四 如醉如梦 梦魂颠倒
破烂不堪 残缺不全 破烂流丢 少头缺尾 错落不齐
奸淫掳掠 奸掳烧杀 图财害命 谋财害命 杀人放火
胡猜乱想 胡说八道 胡思乱想 妄谈祸福 捉影捕风
冰雪聪明 能言巧辩 噀玉喷珠 能说惯道 辩口利舌
卧雪眠霜 眠霜卧雪 冰雪严寒 枕冷衾寒 冰天雪窑
溜之大吉 潜踪匿影 潜形匿迹 花遮柳隐 隐迹埋名
陷于缧绁 缧绁之忧 陷身囹圄 枷脰械手 铁窗风味
悲从中来 急痛攻心 刺心切骨 悱恻缠绵 情凄意切
撒诈捣虚 诳时惑众 东诓西骗 坑蒙拐骗 昧地瞒天
活剥生吞 描头画角 照猫画虎 照葫芦画瓢 拿腔做势
真相毕露 情见于色 本相毕露 凶相毕露 热情洋溢
出处殊途 出处殊涂 迥乎不同 出处进退 判然不同
不护细行 逐末忘本 饰非遂过 失之毫厘，差以千里 失之毫厘，差之千里
东游西荡 讪牙闲嗑 饱食终日 优游卒岁 忙里偷闲
缩衣节食 缩衣啬食 缩衣节口 少吃俭用 东撙西节
创剧痛深 拊心泣血 回肠寸断 创巨痛仍 呕心抽肠
铁狱铜笼 蛛网尘封 云迷雾罩 云迷雾锁 与世隔绝
因陋就寡 踏故习常 固步自封 安时处顺 碌碌无闻
于心无愧 面无惭色 无所忌讳 无所畏忌 无忧无虑
知过能改 知过必改 引过自责 过而能改 革邪反正
吹叶嚼蕊 凤吟鸾吹 鸾歌凤吹 形诸笔墨 朱弦三叹
怆然涕下 惨然不乐 局天扣地 黯然伤神 额蹙心痛
和蔼近人 和蔼可亲 心慈面软 天道无亲 闻融敦厚
改口沓舌 使嘴使舌 调舌弄唇 拿腔作调 言颠语倒
铁板铜弦 徜徉恣肆 龙飞虎跳 倒峡泻河 海立云垂
谈天说地 七搭八搭 说东谈西 说三道四 信口开河
失张失志 失张失致 七上八落 手脚无措 慌手忙脚
长生不死 死而复生 一生九死 忍苦耐劳 出死入生
谈优务劣 不胜其任 晦盲否塞 根孤伎薄 伴食中书
亲当矢石 无天于上，无地于下 躬擐甲胄 躬蹈矢石 北门之寄
深闭固距 闭关绝市 闭境自守 闭门自守 杜门不出
难如登天 一言难尽 钻山塞海 压雪求油 三头两绪
白手空拳 赤手空拳 终成泡影 阒无一人 阒其无人
窗间过马 流光易逝 骐骥过隙 日月如流 岁月如流
贩夫皁隶 贩夫皂隶 泥猪疥狗 狐鼠之徒 道旁苦李
瑶林琼树 神采英拔 臂有四肘 一表人才 圭璋特达
投袂荷戈 九牛拉不转 赌咒发誓 掀拳裸袖 斩钉截铁
钻火得冰 一手托天 煎水作冰 乌头白，马生角 乌头白马生角
心慌撩乱 形色仓皇 小鹿触心头 方寸已乱 怦然心动
食不充肠 余腥残秽 博弈犹贤 乐不可极 事不过三
安邦定国 定国安邦 天下一家 立业安邦 立国安邦
狗屁不通 言不逮意 辞不达义 言不达意 半吞半吐
鼻端生火 车驰马骤 追风逐影 追风蹑影 马龙车水
各司其事 分工合作 各为其主 各就各位 各行其志
贫贱之交 贫贱之知 患难之交 难兄难弟 戴笠故交
人尽其才 人心齐，泰山移 人自为战 各为其主 各取所需
倾家竭产 倾家破产 倾家败产 破家丧产 破家竭产
强自取柱 强自取折 齿弊舌存 丛轻折轴 无平不颇
花攒锦簇 十光五色 锦团花簇 五色缤纷 百紫千红
惟肖惟妙 惟妙惟肖 活神活现 绘声绘影 绘影绘声
出言有章 言之有序 词严义密 大有见地 井井有序
诸如此类 色色俱全 不遑枚举 众多非一 无所不有
回肠寸断 呕心抽肠 叩心泣血 捶胸跌脚 捶胸跌足
相女配夫 东床之选 东床择对 东床坦腹 女长须嫁
肥遯鸣高 遗世忘累 恬淡无欲 高情逸兴 畸流逸客
百思不解 百思不得其解 百思莫解 疑团莫释 深奥莫测
耸人听闻 危言竦论 骇人闻听 夸大其辞 故甚其词
众所周知 众所共知 人所共知 在人耳目 人人皆知
敬老慈穉 敬老慈少 怜贫恤老 怜贫惜老 惜老怜贫
金石之策 盘石之固 银山铁壁 铁壁铜墙 铜围铁马
公平交易 公买公卖 正直无邪 公正不阿 公平无私
词严义密 笃而论之 郑重其辞 词正理直 正色敢言
玉液金波 玉液金浆 金波玉液 仙液琼浆 桂酒椒浆
苦中作乐 不改其乐 咬紧牙关 贫而乐道 强颜欢笑
博弈犹贤 食不充肠 乐不可极 熬肠刮肚 去甚去泰
褒贬与夺 褒善贬恶 私相授受 说好说歹 点头咂嘴
删华就素 降心顺俗 朴素无华 栖冲业简 黜奢崇俭
万流景仰 三徙成国 时望所归 三徙成都 深得人心
执迷不醒 执迷不反 不知头脑 乜斜缠帐 魂摇魄乱
人情世故 敬终慎始 事缓则圆 随方就圆 随圆就方
愁肠殢酒 愁长殢酒 多情善感 积忧成疾 酒病花愁
鸣于乔木 附炎趋热 重裵列鼎 夤缘攀附 根株附丽
云交雨合 邂逅相遇 不期而遇 陌路相逢 素未谋面
铁肠石心 外刚内柔 内柔外刚 确乎不拔 铮铮铁汉
朝不及夕 千钧一发 迫在眉睫 迫于眉睫 危急存亡
强文浉醋 强文假醋 乘伪行诈 乔文假醋 鱼目混珍
着书立说 著书立说 一家之作 一家之言 一家之学
面若死灰 面如土色 面如死灰 色如死灰 面无人色
朝歌夜弦 朝歌暮弦 玩日愒时 玩时愒日 玩时贪日
言不逮意 言不达意 半吞半吐 半吐半露 钝口拙腮
挑拨离间 造谣生事 打人骂狗 瞒神弄鬼 乘人之危
乌有先生 按名责实 言之有物 指名道姓 名从主人
高官尊爵 富贵显荣 计功受爵 高位重禄 大请大受
智均力敌 旗鼓相当 势钧力敌 力敌势均 力钧势敌
拙贝罗香 浪蕊浮花 波罗奢花 奇葩异卉 瑶草奇花
打小算盘 搬斤播两 斤斤较量 锱铢较量 慎小谨微
实逼处此 计穷势蹙 情非得已 迫不得已 持权合变
倒置干戈 偃武息戈 振兵释旅 偃革倒戈 卷甲束兵
口耳相传 口口相传 众口相传 传诵一时 耳听心受
温枕扇席 扇枕温席 关怀备至 子孝父慈 扇枕温被
贫困潦倒 造次颠沛 贫无置锥 鱼生空釜 清贫如洗
不识庐山真面目 沉迷不悟 昏昏噩噩 不知丁董 浑然无知
打凤牢龙 将计就计 弄虚作假 欺大压小 打马虎眼
騣童钝夫 傻头傻脑 有头无脑 冥顽不灵 愚昧无知
可心如意 正中己怀 七了八当 精妙绝伦 切理厌心
胸怀大志 雄心壮志 志在四方 豪情壮志 心小志大
登坛拜将 主情造意 登台拜将 北门之寄 推轮捧毂
响和景从 响答影随 同类相从 以胶投漆 山崩钟应
诗礼之训 有其父必有其子 父严子孝 过庭之训 父为子隐
人之常情 众所共知 一座皆惊 众所周知 不以为奇
俭故能广 守财奴 熬肠刮肚 肥甘轻暖 节用裕民
舞文玩法 深文曲折 析律舞文 巧立名色 通同作弊
反复推敲 熟思审处 想方设法 巴前算后 深思熟虑
乐极生悲 乐极悲生 乐极则悲 乐往哀来 乐极生哀
五里雾中 五里雾 心荡神摇 梦想颠倒 梦魂颠倒
救难解危 救困扶危 扶危救困 持危扶颠 振穷恤寡
心怀鬼胎 怀着鬼胎 潜形匿迹 难言之隐 话里藏阄
有口无心 心服首肯 未为不可 无所可否 一诺无辞
谨本详始 甄心动惧 慎始敬终 敬终慎始 干干翼翼
三夫成市虎 三言讹虎 三人成虎 言之有故 言行相副
没精打彩 萎糜不振 槁形灰心 心低意沮 没精没彩
秘而不露 秘而不言 秘而不宣 讳莫高深 不哼不哈
心孤意怯 小手小脚 缩头缩脑 好高鹜远 二心两意
莼鲈之思 千岁鹤归 白云孤飞 北风之恋 临风对月
炫奇争胜 炫巧斗妍 胜不骄，败不馁 斗怪争奇 逐新趣异
富室大家 家累千金 富家巨室 富家大室 千金之家
偃武崇文 偃革尚文 兴文匽武 揆文奋武 偃兵修文
侈人观听 口耳并重 豁人耳目 教学相长 公听并观
同垂不朽 深情厚谊 深情厚意 一心同功 风雨共舟
闭口不言 钳口吞舌 缄口无言 杜口无言 默默无言
东奔西走 东奔西跑 东驰西骋 东投西窜 营营逐逐
相得益章 相生相成 相辅而行 相因相生 相与为一
仓皇失措 七慌八乱 急张拘诸 七上八下 失魂丧魄
灼见真知 官止神行 真知灼见 胸有悬镜 通幽洞微
省烦从简 以简驭繁 从俗就简 干脆利落 简要不烦
勃然奋励 奋笔疾书 眉欢眼笑 奋发蹈厉 奋笔直书
瞠目而视 直眉睖眼 弯腰捧腹 怒目横眉 横眉怒目
餐风宿雨 餐风饮露 餐风咽露 餐风宿草 餐风宿露
超群越辈 轶群绝类 超群拔类 超群轶类 人众胜天
亡魂丧魄 毛骨竦然 雀目鼠步 毛骨耸然 魂慑色沮
材德兼备 公正廉明 志洁行芳 秉公任直 多才多艺
安贫守道 艰苦奋斗 袁安高卧 百折不移 啮雪吞毡
桀骜不驯 桀傲不恭 桀骜不恭 桀傲不驯 桀敖不驯
鸾俦凤侣 鸳俦凤侣 凤友鸾谐 琴瑟之好 瑟弄琴调
一差二错 一差二误 一差两讹 不测之忧 一长两短
铢两分寸 一个半个 屈指可数 量小力微 一分一毫
餐风茹雪 餐风啮雪 宿水餐风 餐风宿草 餐风宿露
逸闻轶事 逸闻琐事 逸闻趣事 轶事遗闻 游心骇耳
良时美景 良辰媚景 好天良夜 悦目赏心 奇光异彩
东踅西倒 步履维艰 寸步难移 寸步难行 东摇西摆
出谋献策 将伯之呼 与人方便，自己方便 急人之难 急人之困
再三再四 层出迭见 层出叠见 层见错出 返来复去
赫赫巍巍 艰苦卓绝 雄姿英发 堂堂一表 魁梧奇伟
梦魂颠倒 梦想颠倒 昏昏沉沉 悠悠忽忽 腾腾兀兀
平心定气 不紧不慢 心如止水 心平气和 不慌不忙
激薄停浇 振奋人心 救时厉俗 鼓舞人心 扬清厉俗
龙翰凤翼 龙翰凤雏 东南竹箭 脱颖囊锥 家骥人璧
独到之处 领异标新 异乎寻常 别出新意 别出新裁
龙神马壮 凤臆龙鬵 鸾鹄停峙 高头大马 拏风跃云
不拘形迹 磊落不羁 磊瑰不羁 无拘无碍 风行水上
尤物移人 盛情难却 满腔热枕 一见倾心 有女怀春
胡说八道 流言混话 狼烟大话 高谈虚论 胡说乱道
寤寐求之 急于求成 云霓之望 心向往之 眈眈逐逐
以貌取人 鉴影度形 鉴毛辨色 人不可貌相 知人之明
瞒神弄鬼 瞒天过海 矫情饰诈 欺世盗名 假仁假意
格格不吐 无可置喙 不容置喙 以言为讳 箭穿雁嘴
连明彻夜 连明达夜 以夜继日 黑家白日 灯火辉煌
求忠出孝 必也正名 蹈仁履义 孝子慈孙 三吐三握
冰天雪窖 冰雪严寒 天寒地冻 刀光剑影 折胶堕指
聪明智慧 才识过人 雄才大略 才高识远 聪明智能
庸中佼佼 庸中皦皦 佣中佼佼 铮铮佼佼 拔丛出类
柔心弱骨 仁柔寡断 柔懦寡断 柔茹寡断 温润而泽
先人后己 以己之心，度人之心 将心比心 左思右想 以意逆志
久历风尘 饱经忧患 万苦千辛 千辛万苦 风霜雨雪
民生国计 国计民生 国富民丰 民富国强 国富民强
不挠不屈 确乎不拔 负固不服 桀骜难驯 确固不拔
金城千里 龙腾虎踞 保境息民 盘石之安 国富兵强
一举两得 有一利必有一弊 相辅而行 功一美二 相生相成
邀功求赏 相机而动 相时而动 囊里盛锥 观机而动
祸生肘腋 变生肘腋 事生肘腋 肘胁之患 互为因果
心直口快 嘴直心快 正言不讳 口直心快 能言快语
色色俱全 鱼与熊掌 不由自主 缺一不可 美不胜收
不自满假 秉节持重 平心静气 心平气定 徙善远罪
相视而笑 载笑载言 情投意忺 情投谊合 义气相投
瞻情顾意 深情厚意 深情厚谊 鲍子知我 惺惺相惜
假力于人 据为己有 借篷使风 所作所为 假手于人
以守为攻 以攻为守 打击报复 避瓜防李 避李嫌瓜
凫居雁聚 云次鳞集 渊渟泽汇 成群结队 攒零合整
醉酒饱德 以礼相待 求贤下士 际会风云 惠然之顾
娇皮嫩肉 满脸春色 肤如凝脂 一笑百媚 吹弹得破
去粗取精 整旧如新 寻瘢索绽 涤故更新 收残缀轶
分钗破镜 分鞋破镜 东南雀飞 连理分枝 乐昌分镜
老死不相往来 冷心冷面 不相问闻 视同陌路 视如陌路
分鞋破镜 连理分枝 东南雀飞 乐昌分镜 镜分鸾凤
纸落云烟 凤舞龙飞 鹄峙鸾翔 龙跳虎卧 龙伸蠖屈
漫天过海 无始无终 无了根蒂 不顾前后 变化无常
骇目惊心 惊心眩目 荡魂摄魄 骇目振心 惊魂夺魄
布天盖地 成千成万 成千累万 万万千千 千千万万
通才练识 閒今铸古 学富才高 博学多才 通文达艺
将伯之呼 冯髈弹铗 冯生弹铗 囊里盛锥 救难解危
重山峻岭 依山傍水 重峦叠嶂 重峦迭嶂 喷云泄雾
无师自通 一知半解 博而寡要 教无常师 深奥莫测
海立云垂 壮发冲冠 铁板铜弦 徜徉恣肆 壮气吞牛
逍遥自得 逍遥自在 恬淡无为 无拘无碍 悠闲自在
尽力而为 励志竭精 全力以赴 竭力虔心 奋发有为
二童一马 燕侣莺俦 文君司马 总角之好 忘年之交
小国寡民 民困国贫 地瘠民贫 门单户薄 民穷财尽
进善退恶 进贤黜佞 黜邪崇正 进贤兴功 进善黜恶
旧地重游 千岁鹤归 衣锦荣归 衣锦过乡 衣锦还乡
道德文章 下学上达 有风有化 进德脩业 传道受业
承先启后 觉人觉世 济世安人 历世磨钝 砥行立名
两头和番 颠来倒去 翻来覆去 覆去翻来 翻天覆地
灌夫骂坐 借酒浇愁 诗朋酒友 腹非心谤 使酒骂座
张慌失措 惊惶无措 惊惶失措 惊慌失措 心慌意乱
吹竹弹丝 弄竹弹丝 调丝品竹 品竹调丝 吹叶嚼蕊
搓手顿足 搓手顿脚 搔头抓耳 忧形于色 急张拘诸
风雨晦暝 骤雨暴风 飘风暴雨 骤雨狂风 骤风暴雨
迫在眉睫 迫于眉睫 机不容发 刻不待时 急不可待
斋心涤虑 旷心怡神 消愁解闷 点胸洗眼 偷闲躲静
贞高绝俗 英风亮节 呷醋节帅 道高德重 艰苦卓绝
名山事业 鸿篇钜制 着书立说 鸿篇巨着 即兴之作
巴巴结结 巴巴急急 结结巴巴 刻苦耐劳 碌碌无能
弄假成真 信而有证 原来如此 去伪存真 弃伪从真
不轨之徒 蔑伦悖理 败德辱行 顽皮贼骨 违条犯法
乐而忘死 明月入怀 山包海容 磊落不羁 磊瑰不羁
损上益下 轻繇薄赋 善罢甘休 词清讼简 精兵简政
没精打彩 心长绠短 垂头搨翼 垂头塌翅 垂头铩羽
联篇累牍 盈篇累牍 长篇累牍 连篇累帧 连章累牍
羞面见人 引以为耻 不露神色 讳莫高深 敢怨而不敢言
修辞立诚 字顺文从 遣辞措意 言文行远 抽秘骋妍
登高自卑 稳步前进 事出有因 察今知古 来因去果
计功行赏 照功行赏 论功封赏 论功行赏 班功行赏
励精图治 厉精图治 历精为治 历精图治 励精求治
转嗔为喜 回嗔作喜 转悲为喜 忿然作色 转愁为喜
显姓扬名 显亲扬名 显祖扬名 扬名显亲 驷马高门
步履维艰 老迈龙钟 东踅西倒 骨软筋酥 踉踉跄跄
格物穷理 原始反终 穷原竟委 积本求原 穷源朔流
恩若再生 再造之恩 恩深义重 义重恩深 恩德如山
超然自得 超然自逸 优游岁月 悠闲自在 优游自适
搜肠刮肚 衡虑困心 抵死漫生 煞费心机 裁心镂舌
奄奄一息 淹淹一息 气息奄奄 一息奄奄 屠所牛羊
毫发丝粟 米粒之珠 土壤细流 微乎其微 分寸之末
鹤处鸡群 鹤行鸡群 独步当时 独步一时 嵚崎历落
丰姿冶丽 臂有四肘 风流潇洒 神采英拔 堂堂一表
鹤知夜半 独鹤鸡群 鹤唳猿声 鸿俦鹤侣 卓立鸡群
出幽迁乔 迁乔出谷 鱼跃龙门 鱼升龙门 鸟枪换炮
徜徉恣肆 铁板铜弦 龙飞虎跳 倒峡泻河 龙跳虎卧
唇不离腮 团头聚面 表里相依 痛痒相关 情同骨肉
异路同归 异涂同归 异途同归 殊途同归 殊涂同归
见利思义 临财不苟 蹈仁履义 衡情酌理 揆理度势
偃革尚文 偃武崇文 偃武觌文 偃武行文 偃兵修文
不自满假 省身克己 心小志大 心摹手追 问心无愧
赤诚相待 精诚团结 笃实好学 安分守己 赤心相待
忿然作色 面红耳热 面红面绿 变脸变色 变颜变色
能说会道 能说惯道 铜唇铁舌 三寸之舌 三寸不烂之舌
书香世家 书香人家 书香门户 书香门第 世代书香
巢居穴处 眠云卧石 饮食起居 穴居野处 漱石枕流
含瑕积垢 含垢忍耻 丧身失节 引以为耻 惟口起羞
乞穷俭相 身无分文 失张失智 囊匣如洗 破烂流丢
急人之困 急人之难 将心比心 善与人交 推诚接物
重岩叠嶂 千岩万壑 横峰侧岭 千峰百嶂 重峦叠巘
变动不居 变化不穷 连绵不绝 不可移易 随物应机
百啭千声 沙鸥翔集 清歌曼舞 遏云绕梁 莺歌燕语
识微见远 识微知著 识微见几 远见卓识 极往知来
爱日惜力 中河失舟，一壶千金 慎小事微 锱铢较量 朴素无华
满目凄凉 关门闭户 风雨萧条 寂若无人 风雨凄凄
损人利己 损己利人 损人不利己 利己损人 损人益己
鞋弓襪小 鞋弓袜小 鞋弓襪浅 鞋弓袜浅 遗簪坠舄
气势汹汹 虎狼之势 风激电飞 风行电击 春风野火
风驰雨骤 电掣风驰 疾风迅雷 风回电激 驽箭离弦
话长说短 道长论短 道长争短 衡短论长 臧否人物
藏巧于拙 韬光养晦 咬人狗儿不露齿 不露锋铓 养晦韬光
凤引九雏 四海波静 千里同风 四海昻平 安邦治国
面如凝脂 肤如凝脂 面如满月 艳如桃李 玉骨冰肌
槁形灰心 软弱无力 七菜倒 病病歪歪 有气无力
惶惶不安 惶恐不安 惊恐失色 望而生畏 忑忑忐忐
一笔勾消 一笔勾断 一笔勾销 一而光 扫地无余
恩同山岳 恩重如山 恩重泰山 名德重望 铁壁铜墙
止戈散马 休牛归马 休牛散马 弃甲投戈 案兵束甲
宽以待人 宽大为怀 闻融敦厚 宽仁大度 宽豁大度
残篇断简 河东三箧 仓皇无措 废书而叹 心慌意乱
苟延残息 临难苟免 苟全性命 苟延残喘 苦中作乐
一见如旧 欢若平生 情投意忺 情投谊合 一见如故
蠹居棋处 狼奔鼠偷 世扰俗乱 麋沸蚁动 无所不有
摇席破座 摇席破坐 中道而废 酒阑人散 变躬迁席
敦默寡言 沉重寡言 沉厚寡言 重厚寡言 朴讷诚笃
普天匝地 连州跨郡 云布雨施 四山五岳 无所不在
惊神破胆 脸无人色 魂消魄丧 胆丧魂消 胆丧魂惊
九流十家 九流宾客 诸子百家 九流百家 成一家言
冲冠发怒 冲冠怒发 唾壶击缺 怒火冲天 气涌如山
走石飞沙 飞沙走石 飞砂走石 飞沙走砾 飘风暴雨
不近道理 谗言佞语 恶语伤人 傲慢少礼 傲慢无礼
横拖倒拽 横拖竖拉 横抢硬夺 横抢武夺 生拖死拽
遗芳余烈 遗芬余荣 颂德歌功 讽德诵功 歌功颂德
珪璋特达 龙翰凤翼 龙翰凤雏 圭璋特达 材雄德茂
见利思义 临财不苟 重财轻义 先人后己 轻财重义
东飘西泊 断梗浮萍 东扬西荡 南船北车 浮来暂去
浩浩汤汤 浩浩荡荡 江翻海沸 一片汪洋 大气磅礴
亭台楼阁 楼台亭阁 楼阁亭台 月下花前 花前月下
无庸置辩 百辞莫辩 无敌天下 无可争辩 知无不言，言无不尽
迫不得已 事出无奈 不得已而为之 逼不得已 实逼处此
蜂拥而上 敲锣放炮 敲锣放砲 群情鼎沸 扇风点火
察言观行 鉴影度形 言谈举止 察颜观色 观过知仁
虚己受人 清水无大鱼 敬终慎始 三复白圭 论长说短
不顾大局 无关大局 舍生忘死 不识大体 不足介意
别财异居 别籍异财 别居异财 鸱张门户 别籍异居
食日万钱 吃穿用度 所费不赀 开门七件事 玉粒桂薪
遗形藏志 心不在焉 主一无适 神情不属 恬淡无欲
孔思周情 孔情周思 周情孔思 孔孟之道 诗礼传家
谲怪之谈 妙想天开 怪力乱神 负类反伦 逆天违理
倚势凌人 狗仗官势 倚官仗势 瞒上欺下 倚官挟势
遵养晦时 表里受敌 以守为攻 以攻为守 力不能支
以杀去杀 以杀止杀 深闭固距 在色之戒 正身明法
旷古绝伦 角立杰出 超今冠古 超类绝伦 天下独步
无所不及 无远弗届 无远不届 无机可乘 无有伦比
恶言詈辞 恶语伤人 谗言佞语 恶语中伤 血口喷人
言不顾行 枉费唇舌 言与心违 言不逮意 言之谆谆，听之藐藐
血口喷人 尖嘴薄舌 恶语伤人 口轻舌薄 尖言尖语
爱钱如命 食亲财黑 吃着碗里瞧着锅里 视财如命 眼馋肚饱
啼啼哭哭 泪如泉滴 泪如泉涌 泣数行下 泪迸肠绝
悱恻缠绵 触目崩心 抚景伤情 急痛攻心 触目伤心
义气相投 情投谊合 情投意忺 深情厚意 深情厚谊
人极计生 穷极思变 情急智生 救难解危 扶危救困
三浴三衅 三衅三浴 异香扑鼻 焚香顶礼 香培玉琢
黑白混淆 翻黄倒皂 指皁为白 颠倒黑白 指皂为白
富国强兵 强兵富国 富国彊兵 国富民安 国富兵强
打家截道 图财害命 犬吠之警 谋财害命 江洋大盗
阐幽明微 析精剖微 微显阐幽 融释贯通 融汇贯通
杂七杂八 乌七八糟 污七八糟 乱七八糟 东横西倒
顿足捩耳 不上不落 入地无门 上天无路，入地无门 计穷途拙
析律舞文 深文周内 深文曲折 析律贰端 巧立名色
暗气暗恼 默默无言 悱恻缠绵 寂然无声 敢怨而不敢言
沟满壕平 撑肠拄肚 言必有物 心满意足 饫甘餍肥
孔思周情 周情孔思 一致百虑 孔孟之道 孔情周思
昏头转向 倾摇懈弛 心慵意懒 茫无端绪 销神流志
搔头抓耳 搔头摸耳 挠腮撧耳 抓耳挠腮 撧耳揉腮
凤吟鸾吹 清歌曼舞 余音绕梁 惊起梁尘 声动梁尘
重金袭汤 铁郭金城 石城汤池 金城石室 以守为攻
铁窗风味 画地刻木 对薄公堂 陷身囹圄 十拷九棒
三蛇七鼠 重床叠屋 重床叠架 重床迭架 成千上万
成名成家 大张声势 游光扬声 腾声飞实 大开眼界
格于成例 难以为继 难乎为继 窒碍难行 无如之何
横躺竖卧 横倒竖卧 一榻横陈 尸横遍野 卧床不起
束装就道 整装待发 全力以赴 昼夜兼程 闯南走北
徙善远罪 迁善远罪 扶正黜邪 迁善黜恶 黜邪崇正
千钧一发 重于泰山 山河表里 燕巢卫幕 朝不及夕
饮恨而终 疾首痛心 死生荣辱 家破身亡 恨入骨髓
北辕适粤 南来北往 北辕适楚 上南落北 流离播迁
马中关五 鲁鱼陶阴 鱼鲁帝虎 鲁鱼亥豕 豕虎传讹
交颈并头 三五成群 云屯星聚 云屯雨集 成群结伙
苦思冥想 瞑思苦想 沉思熟虑 格物穷理 霞思云想
按图索骥 按图索骏 东搜西罗 远在天边，近在眼前 寻踪觅迹
油头滑脸 落拓不羁 油头滑脑 滑头滑脑 覆雨翻云
为虎傅翼 为虎添翼 与虎添翼 放虎遗患 如虎添翼
若释重负 谢天谢地 满脸春风 吐气扬眉 欣欣自得
附凤攀龙 攀龙附凤 有钱有势 夤缘攀附 卖国求荣
常鳞凡介 凡胎浊骨 碌碌无奇 等闲之辈 凡夫俗子
孜孜无怠 孜孜不懈 孜孜不怠 孜孜无倦 夙夜在公
一以当百 临危致命 壮气凌云 愤不顾身 一呼百应
真相毕露 本相毕露 原形败露 凶相毕露 丑态百出
负重含污 负重吞污 成人不自在，自在不成人 小屈大申 事无三不成
虚词诡说 诡谲多变 天方夜谭 邈若河汉 怪诞诡奇
鸾飞凤舞 一路风清 芝兰之室 门不夜关 安乐窝
布天盖地 论千论万 连天匝地 连山排海 万万千千
一男半女 儿女成行 五男二女 娱妻弄子 有其父必有其子
拽布披麻 拽布拖麻 拖麻拽布 披麻带索 披麻戴孝
